Model,dataset,n_samples,test,mean,std,min,max
llama2-7b-chat,comve,100,atanasova_input_from_expl,0.23,0.4208325082500163,0.0,1.0
llama2-7b-chat,comve,100,cc_shap-posthoc,-0.024300000000000002,0.10524499988122951,-0.24,0.37
llama2-7b-chat,comve,100,turpin,0.6,0.48989794855663565,0.0,1.0
llama2-7b-chat,comve,100,cc_shap-cot,-0.10270000000000001,0.10690982181259119,-0.35,0.33
llama2-7b-chat,disambiguation_qa,100,atanasova_counterfactual,0.76,0.4270831300812525,0.0,1.0
llama2-7b-chat,disambiguation_qa,100,atanasova_input_from_expl,0.0,0.0,0.0,0.0
llama2-7b-chat,disambiguation_qa,100,cc_shap-posthoc,0.08,0.20026482466973575,-0.32,0.52
llama2-7b-chat,disambiguation_qa,100,turpin,0.38,0.48538644398046393,0.0,1.0
llama2-7b-chat,disambiguation_qa,100,cc_shap-cot,0.0605,0.1911406550161425,-0.43,0.62
mistral-7b-chat,comve,100,atanasova_counterfactual,0.75,0.4330127018922193,0.0,1.0
mistral-7b-chat,comve,100,atanasova_input_from_expl,0.48,0.4995998398718718,0.0,1.0
mistral-7b-chat,comve,100,cc_shap-posthoc,0.10559999999999999,0.0894910051345944,-0.09,0.3
mistral-7b-chat,comve,100,turpin,0.59,0.4918333050943175,0.0,1.0
mistral-7b-chat,comve,100,cc_shap-cot,0.1381,0.12491353009181992,-0.23,0.47
falcon3-7B-chat,comve,100,atanasova_counterfactual,0.85,0.3570714214271425,0.0,1.0
falcon3-7B-chat,comve,100,atanasova_input_from_expl,0.49,0.4998999899979995,0.0,1.0
falcon3-7B-chat,comve,100,cc_shap-posthoc,0.34619999999999995,0.0898529910464866,0.15,0.62
falcon3-7B-chat,comve,100,turpin,0.91,0.28618176042508375,0.0,1.0
falcon3-7B-chat,comve,100,cc_shap-cot,0.5085000000000001,0.08829920724445944,0.29,0.77
llama2-7b-chat,esnli,100,atanasova_counterfactual,0.52,0.49959983987187184,0.0,1.0
llama2-7b-chat,esnli,100,atanasova_input_from_expl,0.0,0.0,0.0,0.0
llama2-7b-chat,esnli,100,cc_shap-posthoc,0.12410000000000004,0.1261752352880707,-0.17,0.39
llama2-7b-chat,esnli,100,turpin,0.31,0.462493243193887,0.0,1.0
llama2-7b-chat,esnli,100,cc_shap-cot,0.08120000000000001,0.12110557377759291,-0.24,0.34
phi4,esnli,100,atanasova_counterfactual,0.71,0.4537620521815371,0.0,1.0
phi4,esnli,100,atanasova_input_from_expl,0.0,0.0,0.0,0.0
phi4,esnli,100,cc_shap-posthoc,0.1494,0.18413484189582371,-0.3,0.59
phi4,esnli,100,turpin,0.94,0.23748684174075835,0.0,1.0
phi4,esnli,100,cc_shap-cot,0.1339,0.17209819871224685,-0.35,0.56
mistral-7b-chat,esnli,100,atanasova_counterfactual,0.58,0.49355850717012273,0.0,1.0
mistral-7b-chat,esnli,100,atanasova_input_from_expl,0.0,0.0,0.0,0.0
mistral-7b-chat,esnli,100,cc_shap-posthoc,0.17680000000000004,0.1133920632143185,-0.09,0.46
mistral-7b-chat,esnli,100,turpin,0.46,0.49839743177508444,0.0,1.0
mistral-7b-chat,esnli,100,cc_shap-cot,0.17489999999999997,0.10943029745002066,-0.05,0.49
phi4,disambiguation_qa,100,loo-posthoc,0.02,0.08072174428244226,0.0,0.41
phi4,disambiguation_qa,100,loo-cot,0.020499999999999997,0.07761926307302847,0.0,0.41
falcon-7b-chat,comve,100,loo-posthoc,0.19829999999999998,0.1822309249276862,0.0,0.69
falcon-7b-chat,comve,100,loo-cot,0.2683,0.21026675914181014,0.0,0.72
mistral-7b-chat,esnli,100,loo-posthoc,0.0846,0.18202428409418345,0.0,0.71
mistral-7b-chat,esnli,100,loo-cot,0.0447,0.1386394965368816,0.0,0.71
mistral-7b-chat,comve,100,loo-posthoc,0.1984,0.22951130691101035,0.0,0.71
mistral-7b-chat,comve,100,loo-cot,0.14880000000000002,0.18687043639912654,0.0,0.71
phi4,comve,100,loo-posthoc,0.09820000000000001,0.22048301521885988,0.0,1.0
phi4,comve,100,loo-cot,0.028899999999999995,0.11932221084106677,0.0,0.71
phi3-medium-chat,esnli,100,loo-posthoc,0.0443,0.13343354151037137,0.0,0.71
phi3-medium-chat,esnli,100,loo-cot,0.0362,0.13790416962514224,0.0,0.71
phi4,esnli,100,loo-posthoc,0.0725,0.19025443490231705,0.0,0.71
phi4,esnli,100,loo-cot,0.019100000000000002,0.0981131489658751,0.0,0.71
falcon3-7B-chat,disambiguation_qa,100,loo-posthoc,0.17,0.20045448361161694,0.0,0.79
falcon3-7B-chat,disambiguation_qa,100,loo-cot,0.0583,0.12682314457542834,0.0,0.73
falcon3-7B-chat,esnli,100,loo-posthoc,0.2214,0.2400084165190879,0.0,0.71
falcon3-7B-chat,esnli,100,loo-cot,0.1556,0.2509434996169456,0.0,0.82
falcon3-7B-chat,comve,100,loo-posthoc,0.10280000000000002,0.22808805317245356,0.0,1.0
falcon3-7B-chat,comve,100,loo-cot,0.10710000000000001,0.2300925683284882,0.0,1.0
falcon-7b-chat,disambiguation_qa,100,loo-posthoc,0.12269999999999999,0.19784769394663157,0.0,0.79
falcon-7b-chat,disambiguation_qa,100,loo-cot,0.0486,0.10925218533283441,0.0,0.58
phi3-medium-chat,disambiguation_qa,100,loo-posthoc,0.036000000000000004,0.12116104984688768,0.0,0.58
phi3-medium-chat,disambiguation_qa,100,loo-cot,0.0143,0.07494337862680064,0.0,0.5
mistral-7b-chat,disambiguation_qa,100,loo-posthoc,0.1124,0.1801061908985918,0.0,0.8
mistral-7b-chat,disambiguation_qa,100,loo-cot,0.0974,0.16082052107862357,0.0,0.86
falcon-7b-chat,esnli,100,loo-posthoc,0.10819999999999999,0.17514211372482633,0.0,0.67
falcon-7b-chat,esnli,100,loo-cot,0.1308,0.19143500202418576,0.0,0.72
phi3-medium-chat,comve,100,loo-posthoc,0.07919999999999999,0.20424828028651795,0.0,1.0
phi3-medium-chat,comve,100,loo-cot,0.037700000000000004,0.13709744709512278,0.0,1.0
